Date;Apple;Alphabet;Bank of America
2017-01-03;116,15;808,01;22,53
2017-01-04;116,02;807,77;22,95
2017-01-05;116,61;813,02;22,68
2017-01-06;117,91;825,21;22,68
2017-01-09;118,99;827,18;22,55
2017-01-10;119,11;826,01;22,94
2017-01-11;119,75;829,86;23,07
2017-01-12;119,25;829,53;22,92
2017-01-13;119,04;830,94;23,01
2017-01-17;120;827,46;22,05
2017-01-18;119,99;829,02;22,63
2017-01-19;119,78;824,37;22,53
2017-01-20;120;828,17;22,64
2017-01-23;120,08;844,43;22,56
2017-01-24;119,97;849,53;22,95
2017-01-25;121,88;858,45;23,37
2017-01-26;121,94;856,98;23,44
2017-01-27;121,95;845,03;23,36
2017-01-30;121,63;823,83;22,95
2017-01-31;121,35;820,19;22,64
2017-02-01;128,75;815,24;22,89
2017-02-02;128,53;818,26;22,72
2017-02-03;129,08;820,13;23,29
2017-02-06;130,29;821,62;23,12
2017-02-07;131,53;829,23;22,9
2017-02-08;132,04;829,88;22,67
2017-02-09;132,42;830,06;23,12
2017-02-10;132,12;834,85;23,08
2017-02-13;133,29;838,96;23,4
2017-02-14;135,02;840,03;24,06
2017-02-15;135,51;837,32;24,58
2017-02-16;135,34;842,17;24,58
2017-02-17;135,72;846,55;24,52
2017-02-21;136,7;849,27;24,78
2017-02-22;137,11;851,36;24,79
2017-02-23;136,53;851;24,58
2017-02-24;136,66;847,81;24,23
2017-02-27;136,93;849,67;24,57
2017-02-28;136,99;844,93;24,68
2017-03-01;139,79;856,75;25,5
2017-03-02;138,96;849,85;25,23
2017-03-03;139,78;849,08;25,44
2017-03-06;139,34;847,27;25,25
2017-03-07;139,52;851,15;25,21
2017-03-08;139;853,64;25,26
2017-03-09;138,68;857,84;25,35
2017-03-10;139,14;861,4;25,31
2017-03-13;139,2;864,58;25,3
2017-03-14;138,99;865,91;25,32
2017-03-15;140,46;868,39;25,18
2017-03-16;140,69;870;25,22
2017-03-17;139,99;872,37;24,86
2017-03-20;141,46;867,91;24,44
2017-03-21;139,84;850,14;23,02
2017-03-22;141,42;849,8;22,94
2017-03-23;140,92;839,65;23,07
2017-03-24;140,64;835,14;23,12
2017-03-27;140,88;838,51;23,03
2017-03-28;143,8;840,63;23,48
2017-03-29;144,12;849,87;23,35
2017-03-30;143,93;849,48;23,87
2017-03-31;143,66;847,8;23,59
2017-04-03;143,7;856,75;23,59
2017-04-04;144,77;852,57;23,44
2017-04-05;144,02;848,91;23,17
2017-04-06;143,66;845,1;23,26
2017-04-07;143,34;842,1;23,16
2017-04-10;143,17;841,7;23,02
2017-04-11;141,63;839,88;22,92
2017-04-12;141,8;841,46;22,65
2017-04-13;141,05;840,18;22,34
2017-04-17;141,83;855,13;22,81
2017-04-18;141,2;853,99;22,71
2017-04-19;140,68;856,51;22,74
2017-04-20;142,44;860,08;23,07
2017-04-21;142,27;858,95;22,71
2017-04-24;143,64;878,93;23,63
2017-04-25;144,53;888,84;23,98
2017-04-26;143,68;889,14;23,89
2017-04-27;143,79;891,44;23,65
2017-04-28;143,65;924,52;23,34
2017-05-01;146,58;932,82;23,61
2017-05-02;147,51;937,09;23,53
2017-05-03;147,06;948,45;23,77
2017-05-04;146,53;954,72;23,85
2017-05-05;148,96;950,28;23,74
2017-05-08;153,01;958,69;23,96
2017-05-09;153,99;956,71;23,98
2017-05-10;153,26;954,84;24,15
2017-05-11;153,95;955,89;24,07
2017-05-12;156,1;955,14;24
2017-05-15;155,7;959,22;24,06
2017-05-16;155,47;964,61;23,99
2017-05-17;150,25;942,17;22,57
2017-05-18;152,54;950,5;22,74
2017-05-19;153,06;954,65;23,05
2017-05-22;153,99;964,07;23,04
2017-05-23;153,8;970,55;23,39
2017-05-24;153,34;977,61;23,36
2017-05-25;153,87;991,86;23,25
2017-05-26;153,61;993,27;23,24
2017-05-30;153,67;996,17;22,91
2017-05-31;152,76;987,09;22,41
2017-06-01;153,18;988,29;22,63
